var,date,value
imae,1/1/06,99.8
imae,1/2/06,92.6
imae,1/3/06,100.3
imae,1/4/06,90.4
imae,1/5/06,99.4
imae,1/6/06,99.6
imae,1/7/06,102.5
imae,1/8/06,101.6
imae,1/9/06,95.8
imae,1/10/06,101.2
imae,1/11/06,103.3
imae,1/12/06,113.3
imae,1/1/07,103.1
imae,1/2/07,95.5
imae,1/3/07,104.9
imae,1/4/07,95.3
imae,1/5/07,105.8
imae,1/6/07,102.4
imae,1/7/07,110.6
imae,1/8/07,106.4
imae,1/9/07,98.6
imae,1/10/07,108.1
imae,1/11/07,111
imae,1/12/07,119.3
imae,1/1/08,111.3
imae,1/2/08,104.8
imae,1/3/08,104.7
imae,1/4/08,109.6
imae,1/5/08,108.8
imae,1/6/08,107.7
imae,1/7/08,114.3
imae,1/8/08,108.8
imae,1/9/08,104.9
imae,1/10/08,107.8
imae,1/11/08,103.2
imae,1/12/08,118.2
imae,1/1/09,105
imae,1/2/09,99.6
imae,1/3/09,99.8
imae,1/4/09,97.9
imae,1/5/09,105.3
imae,1/6/09,102.9
imae,1/7/09,111.3
imae,1/8/09,106.1
imae,1/9/09,100.8
imae,1/10/09,103.1
imae,1/11/09,109.2
imae,1/12/09,120.2
imae,1/1/10,107.2
imae,1/2/10,102.1
imae,1/3/10,106.2
imae,1/4/10,100.3
imae,1/5/10,108.5
imae,1/6/10,108
imae,1/7/10,116.4
imae,1/8/10,110.7
imae,1/9/10,106.3
imae,1/10/10,110.1
imae,1/11/10,116.5
imae,1/12/10,124.7
imae,1/1/11,112.8
imae,1/2/11,105.4
imae,1/3/11,114.9
imae,1/4/11,106.2
imae,1/5/11,118.6
imae,1/6/11,116.5
imae,1/7/11,126.4
imae,1/8/11,118.6
imae,1/9/11,112.8
imae,1/10/11,113.7
imae,1/11/11,125.9
imae,1/12/11,128.3
imae,1/1/12,128.4
imae,1/2/12,116.9
imae,1/3/12,118.7
imae,1/4/12,112.5
imae,1/5/12,126.3
imae,1/6/12,118.1
imae,1/7/12,130.3
imae,1/8/12,123.9
imae,1/9/12,117.1
imae,1/10/12,126.2
imae,1/11/12,130.7
imae,1/12/12,142.1
imae,1/1/13,132.1
imae,1/2/13,122.4
imae,1/3/13,122.3
imae,1/4/13,126.8
imae,1/5/13,132.8
imae,1/6/13,123.2
imae,1/7/13,138.4
imae,1/8/13,130.2
imae,1/9/13,125.1
imae,1/10/13,130
imae,1/11/13,134
imae,1/12/13,147.3
imae,1/1/14,135.7
imae,1/2/14,129.8
imae,1/3/14,132.1
imae,1/4/14,128.9
imae,1/5/14,139
imae,1/6/14,130
imae,1/7/14,143.7
imae,1/8/14,133
imae,1/9/14,131.2
imae,1/10/14,137.5
imae,1/11/14,141.4
imae,1/12/14,157.1
imae,1/1/15,141.7
imae,1/2/15,135.1
imae,1/3/15,139.1
imae,1/4/15,131.3
imae,1/5/15,143.7
imae,1/6/15,134.7
imae,1/7/15,151.3
imae,1/8/15,141.7
imae,1/9/15,141
imae,1/10/15,146.6
imae,1/11/15,148.6
imae,1/12/15,163.1
imae,1/1/16,148
imae,1/2/16,141.8
imae,1/3/16,143
imae,1/4/16,140.9
imae,1/5/16,153.1
imae,1/6/16,144.2
imae,1/7/16,155.8
imae,1/8/16,149.7
imae,1/9/16,143.6
imae,1/10/16,149
imae,1/11/16,155.8
imae,1/12/16,171.4
imae,1/1/17,159.9
imae,1/2/17,150.2
imae,1/3/17,154.7
imae,1/4/17,144.2
imae,1/5/17,160
imae,1/6/17,150.5
imae,1/7/17,161.9
imae,1/8/17,154.4
imae,1/9/17,147.6
imae,1/10/17,154.8
imae,1/11/17,164.8
imae,1/12/17,176.6
imae,1/1/18,165.6
imae,1/2/18,154.2
imae,1/3/18,158.4
imae,1/4/18,150.6
imae,1/5/18,151.6
imae,1/6/18,130.5
imae,1/7/18,153.2
imae,1/8/18,149
imae,1/9/18,141
imae,1/10/18,143
imae,1/11/18,153.8
imae,1/12/18,165.3
imae,1/1/19,151.8
imae,1/2/19,138.1
imae,1/3/19,139.7
imae,1/4/19,137.9
imae,1/5/19,145.2
imae,1/6/19,135
imae,1/7/19,150.3
imae,1/8/19,143.6
imae,1/9/19,138.8
imae,1/10/19,147.6
imae,1/11/19,154
imae,1/12/19,165.6
imae,1/1/20,153.3
imae,1/2/20,145.1
imae,1/3/20,140.7
imae,1/4/20,124.9
imae,1/5/20,134.8
imae,1/6/20,130.1
imae,1/7/20,148.6
imae,1/8/20,139.4
imae,1/9/20,140.8
imae,1/10/20,148.1
imae,1/11/20,145.8
imae,1/12/20,164.7
imae,1/1/21,155.6
imae,1/2/21,148.2
imae,1/3/21,152.3
imae,1/4/21,146
imae,1/5/21,159.5
imae,1/6/21,155.1
imae,1/7/21,165.8
imae,1/8/21,154.9
imae,1/9/21,151.4
imae,1/10/21,160.6
imae,1/11/21,165.8
imae,1/12/21,178.7
imae,1/1/22,166.5
imae,1/2/22,154.9
imae,1/3/22,160.9
imae,1/4/22,153.2
imae,1/5/22,166.4
imae,1/6/22,159.7
