year,inv,pop,price,linv,lpop,lprice,t,invpc,linvpc,lprice_1,linvpc_1,gprice,ginvpc
1947,54864,144126,.81900001,10.91261,11.87844,-.19967119,1,.38066691,-.9658305,,,,
1948,64717,146631,.86489999,11.07778,11.89567,-.14514139,2,.44135961,-.81789529,-.19967119,-.9658305,.054529801,.1479352
1949,63150,149188,.84560001,11.05327,11.91296,-.1677088,3,.42329139,-.85969442,-.14514139,-.81789529,-.022567401,-.041799098
1950,86014,151684,.87650001,11.36227,11.92955,-.13181861,4,.56706047,-.56728941,-.1677088,-.85969442,.0358903,.2924051
1951,70610,154287,.88190001,11.16493,11.94657,-.1256766,5,.45765361,-.78164268,-.13181861,-.56728941,.0061420002,-.2143534
1952,68574,156954,.88419998,11.13567,11.96371,-.123072,6,.43690509,-.82803929,-.1256766,-.78164268,.0026046,-.046396598
1953,70818,159565,.88679999,11.16787,11.98021,-.1201358,7,.44381911,-.81233817,-.123072,-.82803929,.0029362,.0157011
1954,78460,162391,.85970002,11.27034,11.99776,-.1511718,8,.48315489,-.72741812,-.1201358,-.81233817,-.0310359,.084920101
1955,91204,165275,.87080002,11.42085,12.01537,-.1383429,9,.55183178,-.59451199,-.1511718,-.72741812,.0128288,.132906
1956,80383,168221,.8829,11.29456,12.03303,-.1245433,10,.47784159,-.73847592,-.1383429,-.59451199,.0137996,-.1439638
1957,74040,171274,.87220001,11.21236,12.05102,-.1367365,11,.43228981,-.83865911,-.1245433,-.73847592,-.0121932,-.1001832
1958,74822,174141,.85210001,11.22287,12.06762,-.16005141,12,.4296633,-.84475332,-.1367365,-.83865911,-.023314901,-.0060942001
1959,88936,177830,.86470002,11.39567,12.08858,-.1453726,13,.50011808,-.69291103,-.16005141,-.84475332,.0146787,.1518423
1960,83127,180671,.86199999,11.32813,12.10443,-.1485,14,.46010149,-.77630812,-.1453726,-.69291103,-.0031274001,-.083397098
1961,83207,183691,.85530001,11.32909,12.12101,-.156303,15,.45297271,-.79192352,-.1485,-.77630812,-.007803,-.0156154
1962,89121,186538,.85930002,11.39775,12.13639,-.1516372,16,.47776321,-.73864001,-.156303,-.79192352,.0046657999,.053283501
1963,96778,189242,.86559999,11.48018,12.15078,-.14433239,17,.51139808,-.67060697,-.1516372,-.73864001,.0073048002,.068033002
1964,94306,191889,.87949997,11.4543,12.16467,-.1284017,18,.49146119,-.71037233,-.14433239,-.67060697,.0159306,-.039765298
1965,100103,194303,.87739998,11.51396,12.17717,-.1307923,19,.51519018,-.66321921,-.1284017,-.71037233,-.0023906,.0471531
1966,92145,196560,.87830001,11.43112,12.18872,-.129767,20,.46878809,-.7576043,-.1307923,-.66321921,.0010253,-.094385102
1967,91336,198712,.8919,11.4223,12.19961,-.1144013,21,.45964009,-.7773115,-.129767,-.7576043,.0153658,-.019707199
1968,99617,200706,.90359998,11.50909,12.2096,-.1013685,22,.49633291,-.7005083,-.1144013,-.7773115,.0130327,.0768032
1969,102183,202677,.9152,11.53452,12.21937,-.088612698,23,.50416672,-.68484819,-.1013685,-.7005083,.0127559,.015659999
1970,96855,205052,.88230002,11.48097,12.23102,-.1252231,24,.47234359,-.75004858,-.088612698,-.68484819,-.036610499,-.065200299
1971,124309,207191,.87980002,11.73053,12.2414,-.12806059,25,.59997302,-.5108707,-.1252231,-.75004858,-.0028375001,.2391779
1972,147269,209353,.88739997,11.90002,12.25178,-.1194595,26,.70344818,-.35176101,-.12806059,-.5108707,.0086011998,.1591097
1973,145286,211536,.90570003,11.88646,12.26215,-.099047102,27,.68681449,-.375691,-.1194595,-.35176101,.0204123,-.02393
1974,112349,213743,.92320001,11.62936,12.27253,-.079909399,28,.5256266,-.64316422,-.099047102,-.375691,.0191378,-.26747331
1975,95170,215973,.91469997,11.46342,12.28291,-.089159198,29,.4406569,-.81948858,-.079909399,-.64316422,-.0092497999,-.1763244
1976,117727,218280,.9199,11.67612,12.29353,-.083490297,30,.53933942,-.6174103,-.089159198,-.81948858,.0056689,.2020783
1977,142412,220612,.96039999,11.86648,12.30416,-.0404054,31,.64553148,-.4376812,-.083490297,-.6174103,.043084901,.1797291
1978,151261,222968,1.0061001,11.92676,12.31478,.0060815001,32,.67839777,-.3880215,-.0404054,-.4376812,.046487,.0496598
1979,143049,225350,1.0355999,11.87094,12.32541,.034980901,33,.63478589,-.45446751,.0060815001,-.3880215,.0288994,-.066445999
1980,112310,227757,1.0432,11.62902,12.33603,.0422929,34,.49311331,-.70701629,.034980901,-.45446751,.0073119998,-.25254881
1981,102714,230139,1.0282,11.5397,12.34644,.0278097,35,.4463129,-.80673498,.0422929,-.70701629,-.0144832,-.099718697
1982,84676,232520,1,11.34659,12.35673,0,36,.3641665,-1.010144,.0278097,-.80673498,-.0278097,-.203409
1983,122819,234799,.98360002,11.71847,12.36648,-.016535901,37,.52308142,-.64801812,0,-1.010144,-.016535901,.3621259
1984,145166,237001,.98360002,11.88563,12.37582,-.016535901,38,.61251217,-.49018651,-.016535901,-.64801812,0,.1578317
1985,146311,239279,.97600001,11.89349,12.38539,-.0242927,39,.61146611,-.49189571,-.016535901,-.49018651,-.0077566998,-.0017093
1986,168406,241625,.97600001,12.03413,12.39514,-.0242927,40,.69697261,-.36100921,-.0242927,-.49189571,0,.1308866
1987,167459,243934,.9892,12.02849,12.40465,-.0108587,41,.68649298,-.37615919,-.0242927,-.36100921,.0134339,-.01515
1988,165459,246329,.98640001,12.01648,12.41442,-.0136933,42,.67169923,-.3979446,-.0108587,-.37615919,-.0028345999,-.021785401
