date,PIB,Consumo,Consumo,Gasto,Inversion,Exportaciones ,Importaciones
1/1/06,28990.41188,26938.83399,23194.23671,4916.623269,5470.905961,8969.67012,15568.19864
1/4/06,28668.10021,27680.4614,23486.81524,5382.439567,5926.016082,9351.467553,16500.91463
1/7/06,29701.32988,28768.17027,24699.31429,4960.517631,6069.774497,9488.078733,16433.53106
1/10/06,31477.86823,31319.20525,25303.98204,7658.274595,6578.012497,9347.329442,18097.62344
1/1/07,30055.44431,28680.33001,24549.58635,4922.222862,6350.132431,10069.76457,16422.0557
1/4/07,30047.39893,28423.49563,24064.15735,5527.765653,7063.121993,9923.993608,17427.41473
1/7/07,31258.2168,30548.49298,26068.43246,5584.46922,6741.368334,10566.02169,18639.9384
1/10/07,33509.27066,31528.41141,26609.6533,7162.099726,7127.015586,10171.37839,22199.65177
1/1/08,31797.93966,29663.89677,25325.63884,5350.240339,8289.498753,12074.04889,20251.83406
1/4/08,32303.99077,30479.68087,25584.68271,6456.738181,8039.81428,11909.81846,21006.63751
1/7/08,32481.75177,31873.02482,26781.13415,6546.684416,6797.741833,10854.92442,19871.8174
1/10/08,32576.83957,31809.91437,26860.90437,6955.568017,6227.585407,9198.74515,21151.57822
1/1/09,30142.5861,29947.96668,25183.80236,6161.896614,5098.723485,10817.6821,17410.88901
1/4/09,30306.87674,30555.73495,25835.54263,6356.937503,4907.9341,10855.77087,18762.50502
1/7/09,31511.9838,32815.02534,27842.64696,6381.290658,4659.237113,11922.2865,18046.60705
1/10/09,32946.25167,32626.32059,27458.68769,7477.618236,4937.23972,10460.4535,20544.9806
1/1/10,31247.40459,31560.3427,26702.13564,5955.148757,4646.308346,13057.75412,18734.52617
1/4/10,31365.24246,31447.06708,26554.8142,6384.770478,5093.305694,13249.18947,20607.74885
1/7/10,33023.81872,33271.07386,28338.71473,6097.83318,6115.342561,12758.21644,21484.00112
1/10/10,34779.7858,33315.04011,27940.29476,7713.485126,6560.45098,12178.86326,22959.84148
1/1/11,32997.15343,32476.42276,27455.73866,6656.124353,6239.613613,14865.1408,23247.48086
1/4/11,33791.74216,32978.9225,27880.84614,6687.757193,6998.218044,13961.96323,23899.69128
1/7/11,35430.06507,34736.41429,29156.2531,6957.509841,7368.598292,13267.40954,23499.64939
1/10/11,36435.27543,32992.94161,27911.66942,7075.147366,7766.00826,13381.05212,22777.44184
1/1/12,36046.31843,34473.21929,28931.39284,7272.153582,8600.523146,15166.28819,26229.25729
1/4/12,35348.451,33692.54583,28794.43206,6572.218606,8128.881866,17098.12995,26277.07531
1/7/12,36763.76587,35173.9421,29729.32533,6740.975654,9300.199178,15087.81434,23202.96884
1/10/12,39502.86923,35272.32846,29531.00165,8419.745391,8876.386744,15000.29192,24055.59873
1/1/13,37309.31113,33959.73473,28576.28898,7474.206473,8544.610877,15768.81999,22965.01289
1/4/13,37901.06063,35032.9542,29300.54017,8036.57126,9301.242547,16076.68724,25271.04236
1/7/13,38985.06294,37215.79444,31414.25346,7688.125356,9352.493566,16558.93947,26055.68629
1/10/13,40741.38618,38043.71134,32175.65113,8060.989358,8763.03463,16327.17833,27818.56967
1/1/14,39368.97465,36394.60948,30211.25881,8529.981085,8761.207142,17481.99872,24477.04412
1/4/14,39409.27652,36648.43293,30551.84382,8360.112388,8931.230553,17433.98779,25954.42571
